id_schedule,Station_id_station,first_train_line_1,last_train_line_1,first_train_line_2,last_train_line_2
1,N8,5:15,0:14,,
2,N7,5:15,0:15,5:55,0:41
3,N5,5:19,0:18,5:53,0:38
4,N4,5:20,0:19,5:51,0:37
5,N3,5:23,0:22,5:48,0:34
6,N2,5:25,0:24,5:47,0:32
7,N1,5:26,0:25,5:45,0:31
8,CEN,5:29,0:29,5:43,0:29
9,E1,5:31,0:30,5:41,0:26
10,E2,5:32,0:32,5:39,0:24
11,E3,5:34,0:34,5:37,0:22
12,E4,5:36,0:35,5:36,0:21
13,E5,5:38,0:37,5:34,0:19
14,E6,5:40,0:39,5:32,0:17
15,E7,5:41,0:41,5:30,0:15
16,E8,5:43,0:42,5:28,0:13
17,E9,5:45,0:45,5:26,0:11
18,E10,5:47,0:46,5:24,0:09
19,E11,5:49,0:48,5:23,0:08
20,E12,5:50,0:51,5:21,0:06
21,E13,5:53,0:52,5:18,0:03
22,E14,5:55,0:54,5:17,0:02
23,E15,,,5:15,0:00
24,E15,5:15,0:00,,
25,E16,5:16,0:01,5:29,23:54
26,E17,5:19,0:04,5:26,23:52
27,E18,5:21,0:06,5:24,23:50
28,E19,5:22,0:07,5:23,23:48
29,E20,5:25,0:10,5:20,23:46
30,E21,5:27,0:12,5:18,23:44
31,E22,5:28,0:13,5:17,23:42
32,E23,,,5:15,23:41
33,W1,5:30,0:27,,
34,CEN,5:32,0:29,5:53,0:29
35,S1,5:34,0:31,5:50,0:25
36,S2,5:36,0:33,5:48,0:23
37,S3,5:39,0:36,5:45,0:20
38,S5,5:41,0:38,5:43,0:18
39,S6,5:43,0:40,5:41,0:16
40,S7,5:45,0:42,5:39,0:14
41,S8,5:46,0:44,5:38,0:13
42,S9,5:48,0:46,5:36,0:11
43,S10,5:50,0:48,5:34,0:09
44,S11,5:52,0:50,5:32,0:07
45,S12,,,5:30,0:05
