id_surrounding,Station_id_station,surrounding
1,N8,Chatuchak Park
2,N8,BBTV Channel 7
3,N8,Thai Rath
4,N8,Queen Sirikit Park
5,N7,Sam Sen Nai Post Office
6,N7,Srithai Market
7,N7,Government Savings Bank(Head office)
8,N7,Bangsue Police Station
9,N5,Export-Import Bank of Thailand(EXIM Thailand)
10,N5,Bangkok Area Revenue Office4
11,N5,Phayathai District Office
12,N4,2nd Cavalry Division The King's Guard Royal Thai Army
13,N4,Royal Thai Army Radio and Television Station(Channel5)
14,N4,Forth Corporation Public Co. Ltd.
15,N3,Santiphab Park
16,N3,Center One Shopping Plaza
17,N3,Victory Mall
18,N3,Victory Plaza
19,N3,Payathai Palace
20,N2,Bangkok Area Revenue Office5
21,N2,Phayathai Plaza
22,N2,C.P. Tower3
23,N2,Ratchathewi Post Office
24,N2,Department of Livestock Development
25,N1,CHRISTIAN UNIVERSITY OF THAILAND
26,N1,CO-CO Walk
27,N1,Hollywood Street
28,N1,Defence Energy Department
29,CEN,Siam Center
30,CEN,Siam Paragon
31,CEN,SIAM SQUARE ONE
32,CEN,Bangkok Art and Culture Centre
33,CEN,Faculty of Denntistry Chulalongkorn University
34,E1,Mater Dei School
35,E1,Amarin Plaza
36,E1,Erawan Bangkok
37,E1,Central Chidlom
38,E2,Phloen Chit Center Building
39,E2,The British Embassy
40,E2,The Royal Netherlands Embassy
41,E2,The Embassy of the United States of America
42,E2,The Embassy of the Socialist Republic of Vietnam
43,E3,Nana Square
44,E3,Phu Fah
45,E3,Revenue Department
46,E3,Embassy of Sweden
47,E3,Nana Plaza
48,E4,Benchakitti Park
49,E4,Terminal 21 Shopping Mall
50,E4,Siam Society Under Royal Patronage
51,E4,Stamford International University
52,E5,Benchasiri Park(Queen's Park)
53,E5,Royal Norwegian Embassy in Bangkok
54,E5,EmQuartier Shopping Complex
55,E6,The Embassy of the Republic of the Philippines
56,E6,Pridi Institute
57,E6,Thong Lo Police Station
58,E7,Gateway Ekamai
59,E7,Eastern Bus Terminal
60,E7,The Institute for the Promotion of teaching Science and Technology(IPST)
61,E8,Rhythm Sukhumvit 44/1
62,E8,Phra Khanong Post Office
63,E8,St Andrews International School Bangkok
64,E9,On Nut Market
65,E9,Metropolitan Waterworks Authority
66,E9,Phrakhanong District Office
67,E10,Bang Chak Market
68,E10,Office of Land Transportation
