id_ticket,many_station,cost_ticket,rabbit_senior_ticket,rabbit_student_ticket,rabbit_normal_ticket
1,0,16,8,15,15
2,1,16,8,15,15
3,2,23,12,22,22
4,3,26,13,25,25
5,4,30,15,29,29
6,5,33,17,32,32
7,6,37,19,36,36
8,7,40,20,39,39
9,8,44,22,43,43
10,9,44,22,43,43
11,10,44,22,43,43
12,11,44,22,43,43
13,12,44,22,43,43
14,13,44,22,43,43
15,14,44,22,43,43
16,15,44,22,43,43
17,16,44,22,43,43
18,17,44,22,43,43
19,18,59,29,53,58
20,19,59,29,53,58
21,20,59,29,53,58
22,21,59,29,53,58
23,22,59,29,53,58
24,23,59,29,53,58
25,24,59,29,53,58
